event_id,info,args
119b5b02,This event occurs when the player hovers the mouse over an interactive object. It contains information about the object under the mouse and the duration of the hover. This event can be used to diagnose things like planning (are they hovering the mouse over tiles for long periods before they use those tiles) and determine which objects the player thinks are important.,"[{""name"":""game_time"",""type"":""int"",""info"":""millisecond count since start of game""},{""name"":""round"",""type"":""int"",""info"":""number of the current round when the event takes place or 0 if no round""},{""name"":""dwell_time"",""type"":""int"",""info"":""how long the mouse cursor dwells over the object when the player dwells for longer than 1sec""},{""name"":""object"",""type"":""string"",""info"":""the object or piece of art the player clicked on""},{""name"":""event_count"",""type"":""int"",""info"":""session event counter""},{""name"":""event_code"",""type"":""int"",""info"":""event class identifier""}]"
4b5efe37,This event occurs when the player clicks to start the game from the starting screen.,"[{""name"":""game_time"",""type"":""int"",""info"":""millisecond count since start of game""},{""name"":""round"",""type"":""int"",""info"":""number of the current round when the event takes place or 0 if no round""},{""name"":""coordinates"",""type"":""object"",""info"":""the game screen coordinates of the click\r\ndictionary:\r\n{“x”: integer, “y”: integer, “stage_width”: integer, “stage_height”: integer}""},{""name"":""event_count"",""type"":""int"",""info"":""session event counter""},{""name"":""event_code"",""type"":""int"",""info"":""event class identifier""}]"
15f99afc,"The end of system-initiated instruction event occurs when the game finishes delivering instructions to the player. It contains information that describes the content of the instruction including duration. These events are used to determine the effectiveness of the instructions and the amount of time they consume. We can answer questions like ""how much time elapsed while the game was presenting instruction?""","[{""name"":""game_time"",""type"":""int"",""info"":""millisecond count since start of game""},{""name"":""round"",""type"":""int"",""info"":""number of the current round when the event takes place or 0 if no round""},{""name"":""description"",""type"":""string"",""info"":""the text or description of the instruction""},{""name"":""identifier"",""type"":""string"",""info"":""a unique identifier for this piece of instruction""},{""name"":""media_type"",""type"":""string"",""info"":""the type of media that has just played:\n\n'audio' || 'animation' || 'other'""},{""name"":""duration"",""type"":""int"",""info"":""the duration of the media playback in milliseconds""},{""name"":""event_count"",""type"":""int"",""info"":""session event counter""},{""name"":""event_code"",""type"":""int"",""info"":""event class identifier""}]"
3d63345e,This event occurs when the player drags a crystal from the resources to someplace other than the mine carts. It contains information about the chest being moved and the destination. The event should occur when the drag is released and the crystal is placed. These events are used to diagnose player strategies and understanding.,"[{""name"":""game_time"",""type"":""int"",""info"":""millisecond count since start of game""},{""name"":""crystal_id"",""type"":""string"",""info"":""unique identifier of the crystal""},{""name"":""weight"",""type"":""int"",""info"":""weight of the crystal that was placed""},{""name"":""coordinates"",""type"":""object"",""info"":""the game screen coordinates of the placement\ndictionary:\n{“x”: integer, “y”: integer, “stage_width”: integer, “stage_height”: integer}""},{""name"":""duration"",""type"":""int"",""info"":""the duration of the drag in milliseconds""},{""name"":""source"",""type"":""string"",""info"":""“left”, “right”, or “resources” – location the crystal was picked up from""},{""name"":""crystals"",""type"":""array->object"",""info"":""list of the properties of the crystals in the resource area from left to right after the event occurs:\n{“id”: string – unique identifier of the crystal, “weight”: integer – weight of the crystal}""},{""name"":""event_count"",""type"":""int"",""info"":""session event counter""},{""name"":""event_code"",""type"":""int"",""info"":""event class identifier""}]"
47026d5f,"The system-initiated feedback (Correct) event occurs when the game starts delivering feedback to the player in response to a correct round attempt (pressing the go button with the correct answer). It contains information that describes the content of the instruction and will likely occur in conjunction with a beat round event. These events are used to determine the effectiveness of the feedback. We can answer questions like ""did players who received feedback X do better than those who did not?""","[{""name"":""game_time"",""type"":""int"",""info"":""millisecond count since start of game""},{""name"":""round"",""type"":""int"",""info"":""number of the current round when the event takes place or 0 if no round""},{""name"":""description"",""type"":""string"",""info"":""the text or description of the instruction""},{""name"":""identifier"",""type"":""string"",""info"":""a unique identifier for this piece of instruction""},{""name"":""media_type"",""type"":""string"",""info"":""the type of media that has just played:\n'audio' || 'animation' || 'other'""},{""name"":""total_duration"",""type"":""int"",""info"":""the estimated duration of the media playback in milliseconds (if it ran uninterrupted)""},{""name"":""event_count"",""type"":""int"",""info"":""session event counter""},{""name"":""event_code"",""type"":""int"",""info"":""event class identifier""}]"
93edfe2e,This event occurs when the player clicks on the help button. It contains information about the state of the game that caused the player to seek help. This event is usually followed by a 3010 (system-initiated instruction) event. It helps identify points that players feel are too difficult.,"[{""name"":""game_time"",""type"":""int"",""info"":""millisecond count since start of game""},{""name"":""round"",""type"":""int"",""info"":""number of the current round when the event takes place or 0 if no round""},{""name"":""target_size"",""type"":""int"",""info"":""correct number of objects""},{""name"":""object_type"",""type"":""string"",""info"":""type of object used for measuring this round""},{""name"":""resources"",""type"":""array->int"",""info"":""list from top to bottom of object count options""},{""name"":""event_count"",""type"":""int"",""info"":""session event counter""},{""name"":""event_code"",""type"":""int"",""info"":""event class identifier""}]"
795e4a37,"The system-initiated instruction event occurs when the game delivers instructions to the player. It contains information that describes the content of the instruction. This event differs from events 3020 and 3021 as it captures instructions that are not given in response to player action. These events are used to determine the effectiveness of the instructions. We can answer questions like, ""did players who received instruction X do better than those who did not?""","[{""name"":""game_time"",""type"":""int"",""info"":""millisecond count since start of game""},{""name"":""description"",""type"":""string"",""info"":""the text or description of the instruction""},{""name"":""identifier"",""type"":""string"",""info"":""a unique identifier for this piece of instruction""},{""name"":""media_type"",""type"":""string"",""info"":""the type of media that has just played:\n'audio' || 'animation' || 'other'""},{""name"":""total_duration"",""type"":""int"",""info"":""the estimated duration of the media playback in milliseconds (if it ran uninterrupted)""},{""name"":""event_count"",""type"":""int"",""info"":""session event counter""},{""name"":""event_code"",""type"":""int"",""info"":""event class identifier""}]"
56817e2b,The beat round event is triggered when the player finishes a round by correctly balancing the scale and clicking the submit button. This event is used for calculating time spent in a round (for speed and accuracy) attempts at solving a round and the number of rounds the player has completed (completion).,"[{""name"":""game_time"",""type"":""int"",""info"":""millisecond count since start of game""},{""name"":""round"",""type"":""int"",""info"":""the number of the round that has just been completed""},{""name"":""duration"",""type"":""int"",""info"":""the duration of the round in milliseconds. Time between start round and beat round.""},{""name"":""misses"",""type"":""int"",""info"":""the number of times the submit button was pressed with the scale out of balance""},{""name"":""event_count"",""type"":""int"",""info"":""session event counter""},{""name"":""event_code"",""type"":""int"",""info"":""event class identifier""}]"
a1e4395d,"The system-initiated instruction event occurs when the game delivers instructions to the player. It contains information that describes the content of the instruction. This event differs from events 3020 and 3021 as it captures instructions that are not given in response to player action. These events are used to determine the effectiveness of the instructions. We can answer questions like, ""did players who received instruction X do better than those who did not?""","[{""name"":""game_time"",""type"":""int"",""info"":""millisecond count since start of game""},{""name"":""description"",""type"":""string"",""info"":""the text or description of the instruction""},{""name"":""identifier"",""type"":""string"",""info"":""a unique identifier for this piece of instruction""},{""name"":""media_type"",""type"":""string"",""info"":""the type of media that has just played:\n'audio' || 'animation' || 'other'""},{""name"":""total_duration"",""type"":""int"",""info"":""the estimated duration of the media playback in milliseconds (if it ran uninterrupted)""},{""name"":""event_count"",""type"":""int"",""info"":""session event counter""},{""name"":""event_code"",""type"":""int"",""info"":""event class identifier""}]"
3afde5dd,"The system-initiated feedback (Correct) event occurs when the game starts delivering feedback to the player in response to a correct round attempt (pressing the go button with the correct answer). It contains information that describes the content of the instruction and will likely occur in conjunction with a beat round event. These events are used to determine the effectiveness of the feedback. We can answer questions like ""did players who received feedback X do better than those who did not?""","[{""name"":""game_time"",""type"":""int"",""info"":""millisecond count since start of game""},{""name"":""round"",""type"":""int"",""info"":""number of the current round when the event takes place or 0 if no round""},{""name"":""description"",""type"":""string"",""info"":""the text or description of the instruction""},{""name"":""identifier"",""type"":""string"",""info"":""a unique identifier for this piece of instruction""},{""name"":""media_type"",""type"":""string"",""info"":""the type of media that has just played:\n'audio' || 'animation' || 'other'""},{""name"":""total_duration"",""type"":""int"",""info"":""the estimated duration of the media playback in milliseconds (if it ran uninterrupted)""},{""name"":""event_count"",""type"":""int"",""info"":""session event counter""},{""name"":""event_code"",""type"":""int"",""info"":""event class identifier""}]"
ecc6157f,"This event occurs when the player hovers the mouse over an interactive object. It contains information about the object under the mouse, and the duration of the hover. This event can be used to diagnose things like planning (are they hovering the mouse over tiles for long periods before they use those tiles), and determine which objects the player thinks are important.","[{""name"":""game_time"",""type"":""int"",""info"":""millisecond count since start of game""},{""name"":""dwell_time"",""type"":""int"",""info"":""how long the mouse cursor dwells over the object when the player dwells for longer than 1sec""},{""name"":""object"",""type"":""string"",""info"":""the object or piece of art the player clicked on""},{""name"":""event_count"",""type"":""int"",""info"":""session event counter""},{""name"":""event_code"",""type"":""int"",""info"":""event class identifier""}]"
b7dc8128,"The start game event is triggered at the very beginning of the game (after the game finishes loading, don’t wait for intro movie to finish). This is used to compute things like time spent in game.","[{""name"":""game_time"",""type"":""int"",""info"":""millisecond count since start of game""},{""name"":""round"",""type"":""int"",""info"":""number of the current round when the event takes place or 0 if no round""},{""name"":""version"",""type"":""string"",""info"":""build identifier to mark future updates to game content""},{""name"":""event_count"",""type"":""int"",""info"":""session event counter""},{""name"":""event_code"",""type"":""int"",""info"":""event class identifier""}]"
99abe2bb,The movie started event triggers when an intro or outro movie starts to play. It identifies the movie being played. This is used to determine how long players spend watching the movies (more relevant after the first play through when the skip option is available).,"[{""name"":""game_time"",""type"":""int"",""info"":""millisecond count since start of game""},{""name"":""round"",""type"":""int"",""info"":""number of the current round when the event takes place or 0 if no round""},{""name"":""movie_id"",""type"":""string"",""info"":""the identifier for the movie that was playing""},{""name"":""duration"",""type"":""int"",""info"":""the duration of the media playback in milliseconds""},{""name"":""description"",""type"":""string"",""info"":""the text or description of the instruction""},{""name"":""event_count"",""type"":""int"",""info"":""session event counter""},{""name"":""event_code"",""type"":""int"",""info"":""event class identifier""}]"
c277e121,"The system-initiated feedback (Incorrect) event occurs when the game starts delivering feedback to the player in response to an incorrect round attempt (pressing the go button with the incorrect answer). It contains information that describes the content of the instruction. These events are used to determine the effectiveness of the feedback. We can answer questions like, “did players who received feedback X do better than those who did not?”","[{""name"":""game_time"",""type"":""int"",""info"":""millisecond count since start of game""},{""name"":""round"",""type"":""int"",""info"":""number of the current round when the event takes place or 0 if no round""},{""name"":""media_type"",""type"":""string"",""info"":""the type of media that has just played:\r\n'audio' || 'animation' || 'other'""},{""name"":""total_duration"",""type"":""int"",""info"":""the estimated duration of the media playback in milliseconds (if it ran uninterrupted)""},{""name"":""description"",""type"":""string"",""info"":""the text or description of the instruction""},{""name"":""identifier"",""type"":""string"",""info"":""a unique identifier for this piece of instruction""},{""name"":""event_count"",""type"":""int"",""info"":""session event counter""},{""name"":""event_code"",""type"":""int"",""info"":""event class identifier""}]"
6043a2b4,This event occurs when the player clicks on the help button. It contains information about the state of the game that caused the player to seek help. This event is usually followed by a 3010 (system-initiated instruction) event. It helps identify points that players feel are too difficult.,"[{""name"":""game_time"",""type"":""int"",""info"":""millisecond count since start of game""},{""name"":""round"",""type"":""int"",""info"":""number of the current round when the event takes place or 0 if no round""},{""name"":""dinosaurs"",""type"":""array->object"",""info"":""a list containing information about the dinosaurs in the round ordered from left to right. use “none” dinosaurs already placed\r\narray containing dictionaries:\r\n[{“name”: string – name of first dinosaur, “size”:integer – size of first dinosaur}, {“name”: string – name of second dinosaur, “size”:integer – size of second dinosaur}, …]""},{""name"":""houses"",""type"":""array->object"",""info"":""list of properties of the houses from left to right\r\narray:\r\n[{“size”:first house size, “dinosaur”:has the dinosaur been placed in this house?}, {“size”:second house size, “dinosaur”:has the dinosaur been placed in this house?}, …]""},{""name"":""dinosaurs_placed"",""type"":""array->object"",""info"":""list containing information about the dinosaurs placed in the houses from left to right. use “none” for dinosaurs not yet placed\r\narray containing dictionaries:\r\n[{“name”: string – name of first dinosaur, “size”:integer – size of first dinosaur}, {“name”: string – name of second dinosaur, “size”:integer – size of second dinosaur}, …]\r\n""},{""name"":""event_count"",""type"":""int"",""info"":""session event counter""},{""name"":""event_code"",""type"":""int"",""info"":""event class identifier""}]"
28520915,"The beat round event is triggered when the player finishes a round by successfully placing the cauldrons and submitting the solution and when the player finishes a round by successfully selecting the specified cauldron. This event is used for calculating time spent in a round (for speed and accuracy), attempts at solving a round, and the number of rounds the player has completed (completion).","[{""name"":""game_time"",""type"":""int"",""info"":""millisecond count since start of game""},{""name"":""misses"",""type"":""int"",""info"":""number of times the done button was pressed with the cauldrons in an incorrect location""},{""name"":""prompt"",""type"":""string"",""info"":""“bucket that holds the most”, “holds least”, etc. – the prompt given to the player""},{""name"":""mode"",""type"":""string"",""info"":""\""placing\"" or \""selecting\"" indicates if this round is for placing buckets or for selecting a specified bucket""},{""name"":""round_number"",""type"":""int"",""info"":""the number of the round that has just been completed""},{""name"":""event_count"",""type"":""int"",""info"":""Incremental event counter""},{""name"":""duration"",""type"":""int"",""info"":""Duration of the round in milliseconds""},{""name"":""event_code"",""type"":""int"",""info"":""event class identifier""}]"
1cf54632,"The start game event is triggered at the very beginning of the level (after the game finishes loading, don't wait for intro movie to finish). This is used to compute things like time spent in game.","[{""name"":""game_time"",""type"":""int"",""info"":""millisecond count since start of game""},{""name"":""round"",""type"":""int"",""info"":""number of the current round when the event takes place or 0 if no round""},{""name"":""version"",""type"":""string"",""info"":""identifier of the current version of the game being played""},{""name"":""event_count"",""type"":""int"",""info"":""session event counter""},{""name"":""event_code"",""type"":""int"",""info"":""event class identifier""}]"
3dfd4aa4,"The start round event is triggered at the start of a round when the player is to arrange the mushrooms on the stumps. There is only one round per playthrough? This event provides information about the game characteristics of the round (i.e. resources, objectives, setup). It is used in calculating things like time spent in a round (for speed and accuracy), attempts at solving a round, and the number of rounds the player has visited (exposures).","[{""name"":""game_time"",""type"":""int"",""info"":""millisecond count since start of game""},{""name"":""event_count"",""type"":""int"",""info"":""session event counter""},{""name"":""event_code"",""type"":""int"",""info"":""event class identifier""}]"
e720d930,"The end of system-initiated feedback (Correct) event occurs when the game finishes delivering feedback to the player in response to a correct round attempt (pressing the go button with the correct answer). It contains information that describes the duration and content of the instruction, and will likely occur in conjunction with a beat round event. These events are used to determine the effectiveness of the feedback. We can answer questions like, ""how much time elapsed while the game was presenting feedback?""","[{""name"":""game_time"",""type"":""int"",""info"":""millisecond count since start of game""},{""name"":""round"",""type"":""int"",""info"":""number of the current round when the event takes place or 0 if no round""},{""name"":""description"",""type"":""string"",""info"":""the text or description of the instruction""},{""name"":""identifier"",""type"":""string"",""info"":""a unique identifier for this piece of instruction""},{""name"":""media_type"",""type"":""string"",""info"":""the type of media that has just played:\n'audio' || 'animation' || 'other'""},{""name"":""duration"",""type"":""int"",""info"":""the duration of the media playback in milliseconds""},{""name"":""event_count"",""type"":""int"",""info"":""session event counter""},{""name"":""event_code"",""type"":""int"",""info"":""event class identifier""}]"
3ddc79c3,"The system-initiated feedback (Correct) event occurs when the game starts delivering feedback to the player in response to a correct round attempt (pressing the go button with the correct answer). It contains information that describes the content of the instruction, and will likely occur in conjunction with a beat round event. These events are used to determine the effectiveness of the feedback. We can answer questions like, ""did players who received feedback X do better than those who did not?""","[{""name"":""game_time"",""type"":""int"",""info"":""millisecond count since start of game""},{""name"":""round"",""type"":""int"",""info"":""number of the current round when the event takes place or 0 if no round""},{""name"":""description"",""type"":""string"",""info"":""the text or description of the instruction""},{""name"":""identifier"",""type"":""string"",""info"":""a unique identifier for this piece of instruction""},{""name"":""media_type"",""type"":""string"",""info"":""the type of media that has just played:\n'audio' || 'animation' || 'other'""},{""name"":""total_duration"",""type"":""int"",""info"":""the estimated duration of the media playback in milliseconds (if it ran uninterrupted)""},{""name"":""event_count"",""type"":""int"",""info"":""session event counter""},{""name"":""event_code"",""type"":""int"",""info"":""event class identifier""}]"
1375ccb7,"The system-initiated instruction event occurs when the game delivers instructions to the player. It contains information that describes the content of the instruction. This event differs from events 3020 and 3021 as it captures instructions that are not given in response to player action. These events are used to determine the effectiveness of the instructions. We can answer questions like, ""did players who received instruction X do better than those who did not?""","[{""name"":""game_time"",""type"":""int"",""info"":""millisecond count since start of game""},{""name"":""description"",""type"":""string"",""info"":""the text or description of the instruction""},{""name"":""identifier"",""type"":""string"",""info"":""a unique identifier for this piece of instruction""},{""name"":""media_type"",""type"":""string"",""info"":""the type of media that has just played:\n'audio' || 'animation' || 'other'""},{""name"":""total_duration"",""type"":""int"",""info"":""the estimated duration of the media playback in milliseconds (if it ran uninterrupted)""},{""name"":""event_count"",""type"":""int"",""info"":""session event counter""},{""name"":""event_code"",""type"":""int"",""info"":""event class identifier""}]"
8fee50e2,"This event occurs when the player places a hat on one of the birds. It contains information about the hat that was placed, the correctness of the action, and where the placement occurred. This event is used to calculate accuracy and to diagnose player strategies and understanding.","[{""name"":""game_time"",""type"":""int"",""info"":""millisecond count since start of game""},{""name"":""hat"",""type"":""int"",""info"":""number of the hat that was placed""},{""name"":""destination"",""type"":""string"",""info"":""“left”, “middle” or “right” – bird the hat was dragged to""},{""name"":""coordinates"",""type"":""object"",""info"":""the game screen coordinates of the placement\r\ndictionary:\r\n{“x”: integer, “y”: integer, “stage_width”: integer, “stage_height”: integer}""},{""name"":""correct"",""type"":""boolean"",""info"":""is this the correct bird for this hat?""},{""name"":""hats"",""type"":""array->int"",""info"":""list of hats available in the resource area with 0 for missing hats""},{""name"":""duration"",""type"":""int"",""info"":""the duration of the drag in milliseconds""},{""name"":""hats_placed"",""type"":""array->int"",""info"":""list of hat numbers placed on the birds from left to right after the placement occurs""},{""name"":""source"",""type"":""string"",""info"":""“left”, “middle”, “right”, or “resources” – location the hat was dragged from""},{""name"":""event_count"",""type"":""int"",""info"":""session event counter""},{""name"":""event_code"",""type"":""int"",""info"":""event class identifier""}]"
bcceccc6,"This event occurs when the player clicks on something that isn't covered elsewhere. It can be useful in determining if there are attractive distractions (things the player think should do something, but don't) in the game, or diagnosing players who are having mechanical difficulties (near misses).","[{""name"":""game_time"",""type"":""int"",""info"":""millisecond count since start of game""},{""name"":""round"",""type"":""int"",""info"":""number of the current round when the event takes place or 0 if no round""},{""name"":""coordinates"",""type"":""object"",""info"":""dictionary: \r\n    {\""x\"":integer, \""y\"":integer, \""stage_width\"":integer, \""stage_height\"":integer}\r\n    the game screen coordinates of the mouse click""},{""name"":""event_count"",""type"":""int"",""info"":""session event counter""},{""name"":""event_code"",""type"":""int"",""info"":""event class identifier""}]"
